datetime,ip,position,temperature-probe,temperature-usb,color
2025-05-21-10-17,10.9.1.64,157-001-001,5.50C,6.75C,black
2025-05-21-10-17,10.9.1.65,157-001-002,6.06C,7.37C,black
2025-05-21-10-17,10.9.1.66,157-001-003,5.50C,7.43C,black
2025-05-21-10-17,10.9.1.67,157-001-004,6.12C,8.43C,black
2025-05-21-10-17,10.9.1.68,157-002-001,5.68C,8.00C,black
2025-05-21-10-17,10.9.1.70,157-002-003,5.68C,7.37C,black
2025-05-21-10-17,10.9.1.71,157-002-004,5.31C,8.81C,black
2025-05-21-10-18,10.9.1.64,157-001-001,5.56C,6.87C,black
2025-05-21-10-18,10.9.1.65,157-001-002,6.12C,7.43C,black
2025-05-21-10-18,10.9.1.66,157-001-003,5.50C,7.50C,black
2025-05-21-10-18,10.9.1.67,157-001-004,6.18C,8.43C,black
2025-05-21-10-18,10.9.1.68,157-002-001,5.68C,8.06C,black
2025-05-21-10-18,10.9.1.70,157-002-003,5.68C,7.43C,black
2025-05-21-10-18,10.9.1.71,157-002-004,5.31C,8.87C,black
2025-05-21-10-19,10.9.1.64,157-001-001,5.62C,6.87C,black
2025-05-21-10-19,10.9.1.65,157-001-002,6.06C,7.50C,black
2025-05-21-10-19,10.9.1.66,157-001-003,5.62C,7.56C,black
2025-05-21-10-19,10.9.1.67,157-001-004,6.25C,8.50C,black
2025-05-21-10-19,10.9.1.68,157-002-001,5.68C,8.12C,black
2025-05-21-10-19,10.9.1.70,157-002-003,5.68C,7.50C,black
2025-05-21-10-19,10.9.1.71,157-002-004,5.31C,8.93C,black
2025-05-21-10-20,10.9.1.64,157-001-001,5.68C,6.87C,black
2025-05-21-10-20,10.9.1.65,157-001-002,6.18C,7.56C,black
2025-05-21-10-20,10.9.1.66,157-001-003,5.68C,7.62C,black
2025-05-21-10-20,10.9.1.67,157-001-004,6.25C,8.56C,black
2025-05-21-10-20,10.9.1.68,157-002-001,5.68C,8.18C,black
2025-05-21-10-20,10.9.1.70,157-002-003,5.68C,7.56C,black
2025-05-21-10-20,10.9.1.71,157-002-004,5.37C,9.00C,black
2025-05-21-10-21,10.9.1.64,157-001-001,5.68C,6.87C,black
2025-05-21-10-21,10.9.1.65,157-001-002,6.18C,7.62C,black
2025-05-21-10-21,10.9.1.66,157-001-003,5.81C,7.68C,black
2025-05-21-10-21,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-10-21,10.9.1.68,157-002-001,5.68C,8.25C,black
