datetime,ip,position,temperature-probe,temperature-usb
2023-07-17-00-59,10.9.1.88,159.001.001,5,5.87
2023-07-17-00-59,10.9.1.91,159.001.004,4.68,6.43
2023-07-17-00-59,10.9.1.92,159.002.001,5.25,6.06
2023-07-17-00-59,10.9.1.89,159.001.002,4.68,6.56
2023-07-17-00-59,10.9.1.90,159.001.003,5.18,7.37
2023-07-17-00-59,10.9.1.93,159.002.002,3.87,7.18
2023-07-17-00-59,10.9.1.94,159.002.003,4.81,6.5
2023-07-17-00-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-00-59,10.9.1.96,159.003.001,4.62,6.18
2023-07-17-00-59,10.9.1.97,159.003.002,4.37,6
2023-07-17-00-59,10.9.1.99,159.003.004,5.37,7.18
2023-07-17-00-59,10.9.1.98,159.003.003,4.18,5.81
2023-07-17-01-59,10.9.1.88,159.001.001,5,5.93
2023-07-17-01-59,10.9.1.89,159.001.002,4.62,6.62
2023-07-17-01-59,10.9.1.91,159.001.004,4.81,6.56
2023-07-17-01-59,10.9.1.90,159.001.003,5.18,7.43
2023-07-17-01-59,10.9.1.92,159.002.001,5.25,6.06
2023-07-17-01-59,10.9.1.94,159.002.003,4.93,6.62
2023-07-17-01-59,10.9.1.93,159.002.002,3.87,7.31
2023-07-17-01-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-01-59,10.9.1.96,159.003.001,4.62,6.18
2023-07-17-01-59,10.9.1.97,159.003.002,4.31,6.06
2023-07-17-01-59,10.9.1.98,159.003.003,4.18,5.87
2023-07-17-01-59,10.9.1.99,159.003.004,5.5,7.31
2023-07-17-02-59,10.9.1.88,159.001.001,5.68,6.37
2023-07-17-02-59,10.9.1.89,159.001.002,4.68,6.62
2023-07-17-02-59,10.9.1.90,159.001.003,5.18,7.31
2023-07-17-02-59,10.9.1.91,159.001.004,4.37,6.12
2023-07-17-02-59,10.9.1.92,159.002.001,5.93,6.56
2023-07-17-02-59,10.9.1.93,159.002.002,4.06,7.37
2023-07-17-02-59,10.9.1.94,159.002.003,4.81,6.5
2023-07-17-02-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-02-59,10.9.1.96,159.003.001,5.37,6.68
2023-07-17-02-59,10.9.1.97,159.003.002,4.56,6.12
2023-07-17-02-59,10.9.1.98,159.003.003,4.18,5.75
2023-07-17-03-59,10.9.1.88,159.001.001,5.62,6.25
2023-07-17-02-59,10.9.1.99,159.003.004,5.18,6.81
2023-07-17-03-59,10.9.1.90,159.001.003,5.18,7.31
2023-07-17-03-59,10.9.1.89,159.001.002,4.68,6.62
2023-07-17-03-59,10.9.1.91,159.001.004,4.56,6.18
2023-07-17-03-59,10.9.1.92,159.002.001,5.62,6.37
2023-07-17-03-59,10.9.1.93,159.002.002,4.06,7.31
2023-07-17-03-59,10.9.1.94,159.002.003,4.87,6.43
2023-07-17-03-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-03-59,10.9.1.96,159.003.001,5.06,6.43
2023-07-17-03-59,10.9.1.97,159.003.002,4.56,6.12
2023-07-17-03-59,10.9.1.98,159.003.003,4.18,5.87
2023-07-17-03-59,10.9.1.99,159.003.004,5.37,6.93
2023-07-17-04-59,10.9.1.88,159.001.001,5,6.12
2023-07-17-04-59,10.9.1.89,159.001.002,4.37,6.56
2023-07-17-04-59,10.9.1.90,159.001.003,5.18,7.31
2023-07-17-04-59,10.9.1.91,159.001.004,4.37,6.12
2023-07-17-04-59,10.9.1.93,159.002.002,3.68,7.18
2023-07-17-04-59,10.9.1.92,159.002.001,5.25,6.25
2023-07-17-04-59,10.9.1.94,159.002.003,4.62,6.37
2023-07-17-04-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-04-59,10.9.1.97,159.003.002,4.18,5.81
2023-07-17-04-59,10.9.1.96,159.003.001,4.62,6.25
2023-07-17-04-59,10.9.1.98,159.003.003,4,5.62
2023-07-17-04-59,10.9.1.99,159.003.004,5.12,6.87
2023-07-17-05-59,10.9.1.88,159.001.001,5.43,6.25
2023-07-17-05-59,10.9.1.89,159.001.002,4.68,6.75
2023-07-17-05-59,10.9.1.90,159.001.003,5.18,7.5
2023-07-17-05-59,10.9.1.91,159.001.004,4.75,6.31
2023-07-17-05-59,10.9.1.92,159.002.001,5.43,6.37
2023-07-17-05-59,10.9.1.93,159.002.002,4.06,7.43
2023-07-17-05-59,10.9.1.94,159.002.003,4.93,6.56
2023-07-17-05-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-05-59,10.9.1.97,159.003.002,4.5,6.18
2023-07-17-05-59,10.9.1.98,159.003.003,4.18,5.81
2023-07-17-05-59,10.9.1.96,159.003.001,5.06,6.43
2023-07-17-06-59,10.9.1.88,159.001.001,5,5.93
2023-07-17-05-59,10.9.1.99,159.003.004,5.37,7.12
2023-07-17-06-59,10.9.1.90,159.001.003,5.18,7.31
2023-07-17-06-59,10.9.1.89,159.001.002,4.62,6.56
2023-07-17-06-59,10.9.1.91,159.001.004,4.62,6.37
2023-07-17-06-59,10.9.1.92,159.002.001,5.25,6
2023-07-17-06-59,10.9.1.93,159.002.002,3.87,7.25
2023-07-17-06-59,10.9.1.94,159.002.003,4.75,6.43
2023-07-17-06-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-06-59,10.9.1.96,159.003.001,4.68,6.12
2023-07-17-06-59,10.9.1.97,159.003.002,4.31,5.93
2023-07-17-06-59,10.9.1.98,159.003.003,4.18,5.81
2023-07-17-06-59,10.9.1.99,159.003.004,5.37,7.12
2023-07-17-07-59,10.9.1.88,159.001.001,5,5.75
2023-07-17-07-59,10.9.1.89,159.001.002,4.37,6.62
2023-07-17-07-59,10.9.1.91,159.001.004,4.56,6.5
2023-07-17-07-59,10.9.1.90,159.001.003,5.18,7.62
2023-07-17-07-59,10.9.1.92,159.002.001,5.18,5.93
2023-07-17-07-59,10.9.1.93,159.002.002,3.68,6.93
2023-07-17-07-59,10.9.1.94,159.002.003,4.56,6.31
2023-07-17-07-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-07-59,10.9.1.96,159.003.001,4.43,5.93
2023-07-17-07-59,10.9.1.97,159.003.002,4.06,5.81
2023-07-17-07-59,10.9.1.98,159.003.003,4.12,5.37
2023-07-17-07-59,10.9.1.99,159.003.004,5.37,7.06
2023-07-17-08-59,10.9.1.88,159.001.001,5.62,6.43
2023-07-17-08-59,10.9.1.89,159.001.002,4.68,6.87
2023-07-17-08-59,10.9.1.90,159.001.003,5.37,7.62
2023-07-17-08-59,10.9.1.91,159.001.004,4.37,6.25
2023-07-17-08-59,10.9.1.92,159.002.001,6.12,6.68
2023-07-17-08-59,10.9.1.93,159.002.002,4.06,7.25
2023-07-17-08-59,10.9.1.94,159.002.003,4.68,6.43
2023-07-17-08-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-08-59,10.9.1.96,159.003.001,5.37,6.62
2023-07-17-08-59,10.9.1.97,159.003.002,4.62,6.25
2023-07-17-08-59,10.9.1.98,159.003.003,4.18,5.37
2023-07-17-08-59,10.9.1.99,159.003.004,5.25,6.68
2023-07-17-09-59,10.9.1.88,159.001.001,6.31,8.81
2023-07-17-09-59,10.9.1.89,159.001.002,5.25,9.18
2023-07-17-09-59,10.9.1.90,159.001.003,7,10.25
2023-07-17-09-59,10.9.1.91,159.001.004,5.37,8.62
2023-07-17-09-59,10.9.1.92,159.002.001,6.18,8.18
2023-07-17-09-59,10.9.1.93,159.002.002,5.06,9.43
2023-07-17-09-59,10.9.1.94,159.002.003,5.18,8.31
2023-07-17-09-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-09-59,10.9.1.96,159.003.001,5.93,9.18
2023-07-17-09-59,10.9.1.97,159.003.002,6.5,10.68
2023-07-17-09-59,10.9.1.98,159.003.003,5.62,9.5
2023-07-17-09-59,10.9.1.99,159.003.004,8.06,10.68
2023-07-17-10-59,10.9.1.88,159.001.001,6.31,8.5
2023-07-17-10-59,10.9.1.89,159.001.002,5.31,8.68
2023-07-17-10-59,10.9.1.91,159.001.004,5.37,8.18
2023-07-17-10-59,10.9.1.90,159.001.003,6.75,9.87
2023-07-17-10-59,10.9.1.92,159.002.001,6.06,7.43
2023-07-17-10-59,10.9.1.93,159.002.002,5.06,9.18
2023-07-17-10-59,10.9.1.94,159.002.003,5.37,7.62
2023-07-17-10-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-10-59,10.9.1.96,159.003.001,5.37,7.25
2023-07-17-10-59,10.9.1.97,159.003.002,5,7.31
2023-07-17-10-59,10.9.1.98,159.003.003,4.18,6.37
2023-07-17-10-59,10.9.1.99,159.003.004,5.93,8.12
2023-07-17-11-59,10.9.1.89,159.001.002,5.5,8.68
2023-07-17-11-59,10.9.1.88,159.001.001,6.31,8.25
2023-07-17-11-59,10.9.1.90,159.001.003,6.87,9.81
2023-07-17-11-59,10.9.1.91,159.001.004,5.37,8.25
2023-07-17-11-59,10.9.1.92,159.002.001,6.06,7.37
2023-07-17-11-59,10.9.1.93,159.002.002,5.06,9.5
2023-07-17-11-59,10.9.1.94,159.002.003,5.37,8.06
2023-07-17-11-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-11-59,10.9.1.96,159.003.001,5.37,7.18
2023-07-17-11-59,10.9.1.97,159.003.002,5.06,7.18
2023-07-17-11-59,10.9.1.98,159.003.003,4.5,6.37
2023-07-17-11-59,10.9.1.99,159.003.004,6,8.12
2023-07-17-12-59,10.9.1.88,159.001.001,6.31,8.18
2023-07-17-12-59,10.9.1.89,159.001.002,5.5,8.75
2023-07-17-12-59,10.9.1.90,159.001.003,7,10.06
2023-07-17-12-59,10.9.1.91,159.001.004,5.56,8.56
2023-07-17-12-59,10.9.1.92,159.002.001,6.06,7.37
2023-07-17-12-59,10.9.1.93,159.002.002,5.31,9.5
2023-07-17-12-59,10.9.1.94,159.002.003,5.75,8.31
2023-07-17-12-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-12-59,10.9.1.96,159.003.001,5.31,7.06
2023-07-17-12-59,10.9.1.97,159.003.002,5.06,7.31
2023-07-17-12-59,10.9.1.98,159.003.003,4.75,6.62
2023-07-17-12-59,10.9.1.99,159.003.004,6.37,8.62
2023-07-17-13-59,10.9.1.88,159.001.001,6.06,8.06
2023-07-17-13-59,10.9.1.89,159.001.002,5.31,8.68
2023-07-17-13-59,10.9.1.91,159.001.004,5.37,8.5
2023-07-17-13-59,10.9.1.90,159.001.003,6.93,10
2023-07-17-13-59,10.9.1.92,159.002.001,5.75,7.37
2023-07-17-13-59,10.9.1.93,159.002.002,5.06,9.43
2023-07-17-13-59,10.9.1.94,159.002.003,5.37,8.25
2023-07-17-13-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-13-59,10.9.1.96,159.003.001,5,7
2023-07-17-13-59,10.9.1.97,159.003.002,4.81,7.18
2023-07-17-13-59,10.9.1.98,159.003.003,4.43,6.37
2023-07-17-13-59,10.9.1.99,159.003.004,6.18,8.56
2023-07-17-14-59,10.9.1.89,159.001.002,5.5,8.31
2023-07-17-14-59,10.9.1.88,159.001.001,6.31,8
2023-07-17-14-59,10.9.1.90,159.001.003,6.31,8.75
2023-07-17-14-59,10.9.1.91,159.001.004,5.18,7.93
2023-07-17-14-59,10.9.1.92,159.002.001,6.31,7.37
2023-07-17-14-59,10.9.1.93,159.002.002,5.25,9.25
2023-07-17-14-59,10.9.1.94,159.002.003,5.18,7.62
2023-07-17-14-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-14-59,10.9.1.96,159.003.001,5.56,7.12
2023-07-17-14-59,10.9.1.97,159.003.002,5.06,7.06
2023-07-17-14-59,10.9.1.98,159.003.003,4.18,6.18
2023-07-17-14-59,10.9.1.99,159.003.004,5.62,7.68
2023-07-17-15-59,10.9.1.88,159.001.001,6.31,7.87
2023-07-17-15-59,10.9.1.89,159.001.002,5.5,8.37
2023-07-17-15-59,10.9.1.90,159.001.003,6.25,8.87
2023-07-17-15-59,10.9.1.91,159.001.004,5.37,8.12
2023-07-17-15-59,10.9.1.92,159.002.001,6.06,7.37
2023-07-17-15-59,10.9.1.93,159.002.002,5.12,9.31
2023-07-17-15-59,10.9.1.94,159.002.003,5.37,7.81
2023-07-17-15-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-15-59,10.9.1.96,159.003.001,5.37,7.25
2023-07-17-15-59,10.9.1.97,159.003.002,5.06,7.12
2023-07-17-15-59,10.9.1.98,159.003.003,4.5,6.37
2023-07-17-15-59,10.9.1.99,159.003.004,5.93,8.12
2023-07-17-16-59,10.9.1.88,159.001.001,6.18,8
2023-07-17-16-59,10.9.1.89,159.001.002,5.43,8.5
2023-07-17-16-59,10.9.1.90,159.001.003,6.18,9
2023-07-17-16-59,10.9.1.91,159.001.004,5.37,8.12
2023-07-17-16-59,10.9.1.93,159.002.002,5.06,9.43
2023-07-17-16-59,10.9.1.92,159.002.001,6.06,7.37
2023-07-17-16-59,10.9.1.94,159.002.003,5.31,7.81
2023-07-17-16-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-16-59,10.9.1.97,159.003.002,5,7.12
2023-07-17-16-59,10.9.1.96,159.003.001,5.25,7.25
2023-07-17-16-59,10.9.1.99,159.003.004,5.87,8.12
2023-07-17-16-59,10.9.1.98,159.003.003,4.31,6.31
2023-07-17-17-59,10.9.1.88,159.001.001,5,6.12
2023-07-17-17-59,10.9.1.89,159.001.002,4.62,6.56
2023-07-17-17-59,10.9.1.91,159.001.004,4.37,6.12
2023-07-17-17-59,10.9.1.90,159.001.003,5.18,7.31
2023-07-17-17-59,10.9.1.92,159.002.001,5.43,6.18
2023-07-17-17-59,10.9.1.93,159.002.002,3.87,7.18
2023-07-17-17-59,10.9.1.94,159.002.003,4.5,6.43
2023-07-17-17-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-17-59,10.9.1.96,159.003.001,4.87,6.25
2023-07-17-17-59,10.9.1.97,159.003.002,4.43,6
2023-07-17-17-59,10.9.1.98,159.003.003,4.06,5.5
2023-07-17-18-59,10.9.1.88,159.001.001,5.18,6.12
2023-07-17-17-59,10.9.1.99,159.003.004,5.18,7
2023-07-17-18-59,10.9.1.89,159.001.002,4.68,6.75
2023-07-17-18-59,10.9.1.90,159.001.003,5.18,7.5
2023-07-17-18-59,10.9.1.91,159.001.004,4.81,6.5
2023-07-17-18-59,10.9.1.92,159.002.001,5.43,6.31
2023-07-17-18-59,10.9.1.93,159.002.002,4.06,7.37
2023-07-17-18-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-18-59,10.9.1.94,159.002.003,4.87,6.75
2023-07-17-18-59,10.9.1.96,159.003.001,4.93,6.43
2023-07-17-18-59,10.9.1.97,159.003.002,4.5,6.18
2023-07-17-18-59,10.9.1.99,159.003.004,5.37,7.43
2023-07-17-18-59,10.9.1.98,159.003.003,4.18,5.87
2023-07-17-19-59,10.9.1.88,159.001.001,5,5.81
2023-07-17-19-59,10.9.1.89,159.001.002,4.62,6.56
2023-07-17-19-59,10.9.1.90,159.001.003,5.18,7.37
2023-07-17-19-59,10.9.1.91,159.001.004,4.81,6.37
2023-07-17-19-59,10.9.1.92,159.002.001,5.25,6
2023-07-17-19-59,10.9.1.93,159.002.002,3.81,7.18
2023-07-17-19-59,10.9.1.94,159.002.003,4.81,6.62
2023-07-17-19-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-19-59,10.9.1.96,159.003.001,4.68,6.25
2023-07-17-19-59,10.9.1.97,159.003.002,4.25,6
2023-07-17-19-59,10.9.1.98,159.003.003,4.18,5.68
2023-07-17-19-59,10.9.1.99,159.003.004,5.37,7.37
2023-07-17-20-59,10.9.1.88,159.001.001,5.62,6.31
2023-07-17-20-59,10.9.1.89,159.001.002,4.68,6.56
2023-07-17-20-59,10.9.1.90,159.001.003,5.18,7.31
2023-07-17-20-59,10.9.1.91,159.001.004,4.37,6.06
2023-07-17-20-59,10.9.1.92,159.002.001,5.81,6.37
2023-07-17-20-59,10.9.1.93,159.002.002,4.06,7.25
2023-07-17-20-59,10.9.1.94,159.002.003,4.5,6.5
2023-07-17-20-59,10.9.1.96,159.003.001,5.25,6.62
2023-07-17-20-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-20-59,10.9.1.97,159.003.002,4.56,6.12
2023-07-17-20-59,10.9.1.99,159.003.004,5.12,6.81
2023-07-17-20-59,10.9.1.98,159.003.003,4.18,5.56
2023-07-17-21-59,10.9.1.88,159.001.001,5.5,6.25
2023-07-17-21-59,10.9.1.89,159.001.002,4.68,6.68
2023-07-17-21-59,10.9.1.90,159.001.003,5.18,7.37
2023-07-17-21-59,10.9.1.91,159.001.004,4.56,6.25
2023-07-17-21-59,10.9.1.92,159.002.001,5.62,6.37
2023-07-17-21-59,10.9.1.93,159.002.002,4.06,7.31
2023-07-17-21-59,10.9.1.94,159.002.003,4.68,6.56
2023-07-17-21-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-21-59,10.9.1.96,159.003.001,5.06,6.56
2023-07-17-21-59,10.9.1.97,159.003.002,4.56,6.18
2023-07-17-21-59,10.9.1.98,159.003.003,4.18,5.68
2023-07-17-21-59,10.9.1.99,159.003.004,5.37,7.12
2023-07-17-22-59,10.9.1.88,159.001.001,5,6.12
2023-07-17-22-59,10.9.1.89,159.001.002,4.37,6.56
2023-07-17-22-59,10.9.1.90,159.001.003,5.06,7.31
2023-07-17-22-59,10.9.1.92,159.002.001,5.31,6.18
2023-07-17-22-59,10.9.1.91,159.001.004,4.37,6.12
2023-07-17-22-59,10.9.1.93,159.002.002,3.68,7.12
2023-07-17-22-59,10.9.1.94,159.002.003,4.31,6.43
2023-07-17-22-59,10.9.1.95,159.002.004,devices,Error:
2023-07-17-22-59,10.9.1.96,159.003.001,4.68,6.25
2023-07-17-22-59,10.9.1.98,159.003.003,3.93,5.37
